ID;Outline_Number;Name;Duration;Start_Date;Finish_Date;AsmTV;BigScreen;Major;Public;SumTask;Class;URL;Title_EN;Title_FI;Location_EN;Location_FI;Location_URL;Outline_Level
1;1;Preparing for party start;180 mins;Thu 6.8.10 9:00;Thu 6.8.10 12:00;No;No;No;No;Yes;;;;;;;;1
2;1.1;Guiding visitors;180 mins;Thu 6.8.10 9:00;Thu 6.8.10 12:00;No;No;No;No;No;Internal;;Guiding visitors;Guiding visitors;All entrances;All entrances;/summer09/at-party/maps/party-place;2
3;1.2;Areena fire inspection;1 hr;Thu 6.8.10 9:00;Thu 6.8.10 10:00;No;No;No;No;No;;;;;;;;2
4;1.3;Areena inspection round;24 mins;Thu 6.8.10 10:30;Thu 6.8.10 10:54;No;No;No;No;No;Security;;Areena inspection round;Areena inspection round;All Areena facilities;All Areena facilities;/summer09/at-party/maps/party-place;2
5;1.4;Extra security to doors;0 mins;Thu 6.8.10 11:30;Thu 6.8.10 11:30;No;No;No;No;No;Security;;Extra security to doors;Extra security to doors;All doors;All doors;/summer09/at-party/maps/party-place;2
6;1.5;Security clearance to open doors;10 mins;Thu 6.8.10 11:30;Thu 6.8.10 11:40;No;No;No;No;No;Security;;Security clearance to open doors;Security clearance to open doors;All doors;All doors;/summer09/at-party/maps/party-place;2
7;1.6;Ticket sales preparation;90 mins;Thu 6.8.10 9:30;Thu 6.8.10 11:00;No;No;No;No;Yes;;;;;;;;2
8;1.6.1;Tickets and initial cash balance;30 mins;Thu 6.8.10 10:30;Thu 6.8.10 11:00;No;No;No;No;No;Internal;;Tickets and initial cash balance;Tickets and initial cash balance;Party room, ticket sales booth;Party room, ticket sales booth;/summer09/at-party/maps/party-place#first;3
9;1.6.2;Training sales personnel on systems;45 mins;Thu 6.8.10 9:30;Thu 6.8.10 10:15;No;No;No;No;No;Internal;;Training sales personnel on systems;Training sales personnel on systems;Ticket sales booth;Ticket sales booth;/summer09/at-party/maps/party-place#first;3
10;;;;;;;;;;;;;;;;;;
11;2;Party starts;660 mins;Thu 6.8.10 12:00;Thu 6.8.10 23:00;No;No;No;No;Yes;;;;;;;;1
12;2.1;ASSEMBLY Summer 2009 starts;0 mins;Thu 6.8.10 12:00;Thu 6.8.10 12:00;Yes;Yes;Yes;Yes;No;Event;;ASSEMBLY Summer 2009 starts!;ASSEMBLY Summer 2009 alkaa!;All Areas;Kaikki alueet;/summer09/at-party/maps/party-place;2
13;2.2;Main entrance opened;0 mins;Thu 6.8.10 12:00;Thu 6.8.10 12:00;No;No;Yes;Yes;No;Event;/summer09/come-to-party/entry-setup;Main entrance opened;Pääovi avataan;Main entrance;Pääovi;/summer09/at-party/maps/party-place;2
14;2.3;Ticket sales at booths - Thu;9 hrs;Thu 6.8.10 12:00;Thu 6.8.10 21:00;No;No;Yes;No;No;Internal;;Ticket sales at booths - Thu;Ticket sales at booths - Thu;Ticket sales booth;Ticket sales booth;/summer09/at-party/maps/party-place#first;2
15;2.4;Ticket sales at booths - Fri;11 hrs;Thu 6.8.10 12:00;Thu 6.8.10 23:00;No;No;No;No;No;Internal;;Ticket sales at booths - Fri;Ticket sales at booths - Fri;Ticket sales booth;Ticket sales booth;/summer09/at-party/maps/party-place#first;2
16;2.5;Ticket sales at booths - Sat;7 hrs;Thu 6.8.10 12:00;Thu 6.8.10 19:00;No;No;No;No;No;Internal;;Ticket sales at booths - Sat;Ticket sales at booths - Sat;Ticket sales booth;Ticket sales booth;/summer09/at-party/maps/party-place#first;2
17;2.6;Loading entrances open;360 mins;Thu 6.8.10 12:00;Thu 6.8.10 18:00;No;No;No;No;Yes;;;;;;;;2
18;2.6.1;Loading doors #1, #2 and #3 are opened;0 hrs;Thu 6.8.10 12:00;Thu 6.8.10 12:00;Yes;Yes;Yes;Yes;No;Event;/summer09/come-to-party/entry-setup;Loading doors are opened;Lastausovet avataan;Loading entrances #1, #2 and #3;Lastaussisäänkäynnit #1, #2 ja #3;/summer09/at-party/maps/party-place;3
19;2.6.2;Security at the door;6 hrs;Thu 6.8.10 12:00;Thu 6.8.10 18:00;No;No;No;No;No;Security;;Security at the door;Security at the door;Loading entrances;Loading entrances;/summer09/at-party/maps/party-place;3
20;2.6.3;Extra security at the door;3 hrs;Thu 6.8.10 12:00;Thu 6.8.10 15:00;No;No;No;No;No;Security;;Extra security at the door;Extra security at the door;Loading entrances;Loading entrances;/summer09/at-party/maps/party-place;3
21;2.7;Guiding visitors;180 mins;Thu 6.8.10 12:00;Thu 6.8.10 15:00;No;No;No;No;No;Internal;;Guiding visitors;Guiding visitors;Main party arena, at the loading entrances;Main party arena, at the loading entrances;/summer09/at-party/maps/party-place;2
22;2.8;Guidance info on big screen;6 hrs;Thu 6.8.10 12:00;Thu 6.8.10 18:00;No;Yes;No;No;No;Internal;;Guidance info on big screen;Guidance info on big screen;Main party arena;Main party arena;/summer09/at-party/maps/party-place;2
23;2.9;Instructions through speakers;3 hrs;Thu 6.8.10 12:00;Thu 6.8.10 15:00;No;No;No;No;No;Internal;;Instructions through speakers;Instructions through speakers;Main party arena;Main party arena;/summer09/at-party/maps/party-place;2
24;2.10;AssemblyTV broadcast starts;0 mins;Thu 6.8.10 12:00;Thu 6.8.10 12:00;Yes;Yes;Yes;Yes;No;Event;http://www.assemblytv.net;AssemblyTV broadcast starts;AssemblyTV-lähetys alkaa;AssemblyTV;AssemblyTV;http://www.assemblytv.net;2
25;2.11;Loading doors close;0 mins;Thu 6.8.10 18:00;Thu 6.8.10 18:00;No;No;Yes;Yes;No;Event;/summer09/come-to-party/entry-setup;Loading doors close;Lastausovet suljetaan;Loading entrances #1, #2 and #3;Lastaussisäänkäynnit #1, #2 ja #3;/summer09/at-party/maps/party-place;2
